original_tweet,sentiment_result
beredar pesan berantai yang menyebut vaksin covid sinovac mengandung jaringan kera hijau afrika bio farma membantah dan ,7
selain vaksin pemerintah juga harus pikirkan efektivitas kebijakan ekonomi ,5.25
wb mengerikan di amerika yang sudah di vaksin cacat seumur hidup ribu lebih orang video ,1
gubernur dki jakaa anies baswedan telah dinyatakan sembuh dari paparan covid dan mulai hari ini sudah kembali berdinas ,7
sebanyak vaksin covid sinovac telah tiba di bandara sentani jayapura papua senin siang ,0
lubis gerakan nasioanal bina umkm dan wifi gratis juga adalah bagian dari instruksi ketum dalam kondisi ,5
karena itulah bersyukurlah indonesia dapat vaksin sekali kirim sejuta lebih dosis di banyak negara vaksin pfizer didist ,3.0
pebulutangkis kevin sanjaya sukamuljo dinyatakan positif terinfeksi covid setelah menjalani tes pada kamis setela ,7
bening isu vaksin dikasih microchip lu panik aplikasi smaphone minta access ke gps lu nomor di contact lu gallery lu phone c ,-11
vaksin covid jatah bali sudah dikirim lewat jalur darat dari bandung kemarin ,2
harga kedelai di pasar global melonjak drastis akibat tingginya permintaan selama pandemi virus corona covid hal itu pu ,3
testimoni produk bp sembuh dari covid ,10
siaran pers no hm kominfo tentang kominfo tegaskan aplikasi pedulilindungi aman untuk program vaksinasi covid ,-7
covid tak habis lagi ni dah banjir pulak allahu cepat sembuh malaysiaku ,9
diharapkan bisa tingkatkan perdagangan internal afrika ,0
jelo dwi ,0
di masa pandemi ini test swab tiap kali kamu tidak merasa enak badan merupakan salah satu langkah preventif oleh karena itu kamu gak perlu merasa takut yaaa dengan melakukan test swab kita akan tahu kondisi kesehatan kita dan meminimalisir penyebaran covid ,2
sebagai penyintas covid ini sih yg mendasar elo butuh kalo ada gejala alat oxymeter amp thermometer konsumsi vitamin c ,-9
penilaian pengesanan kontak rapat adalah berdasarkan tempoh pendedahan jarak semasa beemu pemakaian pelitup mu ,5
diangkut truk vaksin covid tiba di bali diperkirakan tengah malam ,-1
fadzil nama kael daging tak boleh dedah harga vaksin tak boleh dedah pampasan hsr tak boleh dedah,3
pemerintah akan melaksanakan program vaksinasi covid dalam waktu dekat kendati demikian presiden joko widodo berharap masyarakat tetap disiplin menjalankan protokol kesehatan pencegahan covid ,5
pasien covid yang sembuh di indonesia beambah menjadi orang,4
hi electrizen sekarang untuk cek token listrik gratis program stimulus covid jadi makin mudah dengan pln mobile simak ca ,8
himbauan bhabinkamtibmas kel margahayu polsek bekasi timur aiptu sugeng rudianto melakukan himbauan kepada komunitas keamanan perumahan villa taman kaini rw kel margahayu agar tetap mengikuti prokes agar terhindar dari virus covid dan melaksanakan m sea memakai ,-1
moerdijat pengalaman harus menjadi pembelajaran bagi kita perbaikan tata kelola penanganan pengendalian covid dengan a ,15.75
informasi kasus covid terbaru positif sembuh meninggal sumber ,10
di tengah covid bpjs tetap naik pemerintah kembali menaikan iuran bpjs mulai januari ada kenaikan iuran bpjs k ,0
beberapa sampel suku cadang mobil telah dites positif terinfeksi virus corona baru covid di berbagai wilayah di cina ,7
dapat video informasi mengharukan dari pasien covid di wisma atlet tentang kerja keras para tenaga kesehatan ayo kita ba ,10
dgn pemberlakuan kembali work from home wfh bg seluruh pegawai universitas terbuka sbg salah satu upaya pencegahan peny ,7
presiden jokowi mengatakan dirinya siap menjadi orang peama yang akan disuntik vaksin covid ,0
rusli obat anti covid alhamdullilah sehat sampai sekarang sebenarnya saya gak butuh vaccine covid biar kalian sajalah ,-5
mu kiciro kibanza cy amashuri abanza n ay incuke bige ku wa mbere no ku wa kabiri ,0
waw dosis vaksin covid tiba di tanjung selor kaltara pada selasa januari ,0
gues pelajari dan resapi ya trus kita daftar atau apalah kita vaksin bersama ,3
iya trus nolak vaksin juga,0
sejak mendapatkan informasi bahwa di lingkungan kerja dprd dki jakaa banyak yang terpapar virus korona covid sepe ,7
emang pada dasarnya vaksin ini mencurigakan ,0
akibat menghadkan jumlah berjemaah surau amp masjid kekurangan dana utk belanja operasi tabung dipingahkan ke luar pagar ustaz pula kehilangan pendapatan mengajar kuliah subuh amp maghrib rumah allah sepi full kapasiti je lah vaksin pon nak spai dah ,12
beambah kasus positif covid jadi orang ,4
kevin sanjaya dinyatakan positif covid dan batal mengikuti turnamen di thailand ,2
berbagai rintangan di tengah pandemi covid tidak menghalangi kita untuk tetap berkarya di sepanjang tahun berikut kami sampaikan catatan kecil kilas balik kinerja bkn selama tahun ,-2
iyaa minions absen soalnya kevin positif covid ,1
kevin sanjaya soekamuljo positif covid sejak tengah desember lalu kevin merasa sudah tak bisa mencium bau makan set ,-2
indonesia laporkan kasus baru covid pada senin total kasus menjadi orang,2
larry king disahkan positif covid pn ,4
ek hota hai manhus fir aata hai best friend ka ex fir aate hai fir aata hai covid fir aati hai meri qisamt ,14
mukaddimah covid banjir,4
dalam hari ini peningkatan kasus covid di subang mulai meredup ,-4
dia gak bohong kok karena nik yg masuk daftar vaksin itu untuk rakyat beliau jalur khusus yg gak didata beliau itu presiden bukan rakyat d barangkali gitu khusnudzon aja ,-5.0
dwi warga arab saudi tidak mempeanyakan halal tidaknya vaksin covid bahkan mereka sudah mulai melakukan vaksinasi ,0
kevin sanjaya positif covid alami gejala lidah hambar dan tak bisa mencium bau ,-9
tragedi kemanusiaan terjadi di mesir seluruh pasien di icu covid alhusainiyah central hospital meninggal karena oksi ,-9
kevin sanjaya sukamuljo marcus fernaldi gideon harus mundur dari tiga turnamen di thailand hal ini dikarenakan hasil tes ,5.25
dengan adanya vaksin semoga membuat umkm juga pulih ,0
anda duduk serumah dengan kes positif ini langkah langkah yang anda perlu lakukan ,15
didu mohon doa teman semua adik saya ir h m suaib didu mm sdg dirawat di icu salah satu rs jakaa krn terjangkir covid ,2
ri ,0
saat ini kondisi penyebaran virus di jakaa masih sangat tinggi sehingga sangat berisiko apabila dilakukan sekolah tatap muka ,16.0
kementerian kesehatan memastikan bahwa jokowi akan menjadi orang peama yang akan disuntik vaksin covid ,0
